full_address,estimate_date,estimate_value,estimate_range,link
"48 Ohariu Road, Johnsonville, Wellington",19/12/2017,$960K,$890K - $1.02M,https://www.homes.co.nz/address/wellington/johnsonville/48-ohariu-road/JLj8v
"14 Glenamoy Crescent, Johnsonville, Wellington",11/06/2015,$830K,$770K - $885K,https://www.homes.co.nz/address/wellington/johnsonville/14-glenamoy-crescent/DLQY2
"1/30 Arapiko Street, Johnsonville, Wellington",4/08/2011,$575K,$545K - $605K,https://www.homes.co.nz/address/wellington/johnsonville/1-30-arapiko-street/X49r7
"26A Elliott Street, Johnsonville, Wellington",29/06/2002,$1.01M,$935K - $1.08M,https://www.homes.co.nz/address/wellington/johnsonville/26a-elliott-street/ybWwK
"11 Glenamoy Crescent, Johnsonville, Wellington",9/11/1996,$940K,$875K - $1M,https://www.homes.co.nz/address/wellington/johnsonville/11-glenamoy-crescent/4ELPr
"41 Chapman Street, Johnsonville, Wellington",13/02/2019,$1.04M,$970K - $1.11M,https://www.homes.co.nz/address/wellington/johnsonville/41-chapman-street/MkWw1
"62 Kipling Street, Johnsonville, Wellington",1/01/1970,$835K,$780K - $895K,https://www.homes.co.nz/address/wellington/johnsonville/62-kipling-street/jDbrG
"70 Bould Street, Johnsonville, Wellington",1/01/1970,$795K,$740K - $850K,https://www.homes.co.nz/address/wellington/johnsonville/70-bould-street/kk5Nw
"92 Fraser Avenue, Johnsonville, Wellington",11/03/2016,$780K,$725K - $835K,https://www.homes.co.nz/address/wellington/johnsonville/92-fraser-avenue/GkrPk
"12 Bould Street, Johnsonville, Wellington",1/01/1970,$1.15M,$1.07M - $1.23M,https://www.homes.co.nz/address/wellington/johnsonville/12-bould-street/lXRvx
"63 Mclintock Street, Johnsonville, Wellington",27/02/2007,$980K,$910K - $1.05M,https://www.homes.co.nz/address/wellington/johnsonville/63-mclintock-street/15vGy
"74 Mclintock Street, Johnsonville, Wellington",4/05/2010,$1.49M,$1.39M - $1.6M,https://www.homes.co.nz/address/wellington/johnsonville/74-mclintock-street/ybYpW
"7/2 Hindmarsh Street, Johnsonville, Wellington",1/01/1970,$850K,$805K - $900K,https://www.homes.co.nz/address/wellington/johnsonville/7-2-hindmarsh-street/JqLzL
"30 Bould Street, Johnsonville, Wellington",1/01/1970,$1.03M,$955K - $1.1M,https://www.homes.co.nz/address/wellington/johnsonville/30-bould-street/pDkK2
"1/110 Moorefield Road, Johnsonville, Wellington",1/01/1970,$825K,$770K - $885K,https://www.homes.co.nz/address/wellington/johnsonville/1-110-moorefield-road/DLbVn
"21 Meadowcroft Grove, Johnsonville, Wellington",7/05/2007,$495K,$450K - $535K,https://www.homes.co.nz/address/wellington/johnsonville/21-meadowcroft-grove/yb2OV
"6/5 Hawtrey Terrace, Johnsonville, Wellington",4/11/2017,$1.04M,$965K - $1.11M,https://www.homes.co.nz/address/wellington/johnsonville/6-5-hawtrey-terrace/Zop5v
"6A Ironside Road, Johnsonville, Wellington",21/01/2004,$930K,$865K - $995K,https://www.homes.co.nz/address/wellington/johnsonville/6a-ironside-road/QRP25
"74 Broderick Road, Johnsonville, Wellington",1/01/1970,$865K,$805K - $925K,https://www.homes.co.nz/address/wellington/johnsonville/74-broderick-road/PaeNn
"90 Broderick Road, Johnsonville, Wellington",6/04/2014,$870K,$810K - $930K,https://www.homes.co.nz/address/wellington/johnsonville/90-broderick-road/ggjZ2
"23 Elliott Street, Johnsonville, Wellington",30/08/1999,$970K,$905K - $1.04M,https://www.homes.co.nz/address/wellington/johnsonville/23-elliott-street/ybGAK
"118 John Sims Drive, Johnsonville, Wellington",16/10/2005,$1.01M,$945K - $1.09M,https://www.homes.co.nz/address/wellington/johnsonville/118-john-sims-drive/alA2V
"119 Broderick Road, Johnsonville, Wellington",28/08/2001,$1.09M,$1.01M - $1.16M,https://www.homes.co.nz/address/wellington/johnsonville/119-broderick-road/DLKK2
"94 Fraser Avenue, Johnsonville, Wellington",6/02/2019,$850K,$790K - $905K,https://www.homes.co.nz/address/wellington/johnsonville/94-fraser-avenue/JLvP2
"39 Bannister Avenue, Johnsonville, Wellington",27/04/2004,$975K,$910K - $1.04M,https://www.homes.co.nz/address/wellington/johnsonville/39-bannister-avenue/Y2PVM
"116 Broderick Road, Johnsonville, Wellington",6/02/2006,$875K,$815K - $940K,https://www.homes.co.nz/address/wellington/johnsonville/116-broderick-road/Pap1G
"33 Cunliffe Street, Johnsonville, Wellington",1/01/1970,$920K,$855K - $980K,https://www.homes.co.nz/address/wellington/johnsonville/33-cunliffe-street/NXjnk
"18 Erris Street, Johnsonville, Wellington",5/02/2013,$1.03M,$955K - $1.1M,https://www.homes.co.nz/address/wellington/johnsonville/18-erris-street/ROlr7
"22 Rossport Street, Johnsonville, Wellington",2/03/2018,$1.04M,$965K - $1.11M,https://www.homes.co.nz/address/wellington/johnsonville/22-rossport-street/jDK2M
"20B Bould Street, Johnsonville, Wellington",24/03/2011,$975K,$905K - $1.04M,https://www.homes.co.nz/address/wellington/johnsonville/20b-bould-street/qk9ox
