full_address,estimate_date,estimate_value,estimate_range,link
"84 Discovery Drive, Whitby, Porirua",20/01/2004,$1.12M,$1.06M - $1.18M,https://www.homes.co.nz/address/porirua/whitby/84-discovery-drive/WegLb
"16 Eclipse Lane, Whitby, Porirua",28/02/2020,$1.33M,$1.26M - $1.41M,https://www.homes.co.nz/address/porirua/whitby/16-eclipse-lane/oKAJ8
"59 The Masthead, Whitby, Porirua",23/11/2017,$3.36M,$3.17M - $3.54M,https://www.homes.co.nz/address/porirua/whitby/59-the-masthead/z2pZR
"71 The Masthead, Whitby, Porirua",1/01/1970,$1.43M,$1.35M - $1.51M,https://www.homes.co.nz/address/porirua/whitby/71-the-masthead/z2pjQ
"8 Pilot Lane, Whitby, Porirua",18/09/2018,$975K,$920K - $1.03M,https://www.homes.co.nz/address/porirua/whitby/8-pilot-lane/WeBRb
"15 Observatory Close, Whitby, Porirua",1/11/2020,$1.31M,$1.24M - $1.39M,https://www.homes.co.nz/address/porirua/whitby/15-observatory-close/aN8vQ
"63 Samwell Drive, Whitby, Porirua",25/09/2010,$1.09M,$1.03M - $1.15M,https://www.homes.co.nz/address/porirua/whitby/63-samwell-drive/Ao0vK
"46 Joseph Banks Drive, Whitby, Porirua",27/09/2013,$1.08M,$1.02M - $1.14M,https://www.homes.co.nz/address/porirua/whitby/46-joseph-banks-drive/LxqwW
"10 Ayton Drive, Whitby, Porirua",17/08/2001,$950K,$900K - $1M,https://www.homes.co.nz/address/porirua/whitby/10-ayton-drive/Ao44Q
"1 Charthouse Lane, Whitby, Porirua",19/03/2018,$970K,$915K - $1.02M,https://www.homes.co.nz/address/porirua/whitby/1-charthouse-lane/9Ln1o
"3 Ensign Lane, Whitby, Porirua",14/12/2015,$930K,$875K - $980K,https://www.homes.co.nz/address/porirua/whitby/3-ensign-lane/ljbzZ
"7 Lakeside Villas, Whitby, Porirua",7/07/2017,$1.1M,$1.03M - $1.16M,https://www.homes.co.nz/address/porirua/whitby/7-lakeside-villas/01bJN
"36 Latitude Close, Whitby, Porirua",6/04/1999,$1.31M,$1.23M - $1.38M,https://www.homes.co.nz/address/porirua/whitby/36-latitude-close/q5r8X
"41 Omapere Street, Whitby, Porirua",24/04/2018,$810K,$765K - $855K,https://www.homes.co.nz/address/porirua/whitby/41-omapere-street/XlE92
"65 Omapere Street, Whitby, Porirua",8/02/2005,$955K,$900K - $1.01M,https://www.homes.co.nz/address/porirua/whitby/65-omapere-street/KAz8G
"11 Parkinson Close, Whitby, Porirua",5/03/2021,$775K,$740K - $805K,https://www.homes.co.nz/address/porirua/whitby/11-parkinson-close/YeMB7
"34 Shackle Lane, Whitby, Porirua",10/09/2017,$1.25M,$1.18M - $1.32M,https://www.homes.co.nz/address/porirua/whitby/34-shackle-lane/eZRbQ
"26 The Companionway, Whitby, Porirua",28/02/2009,$1.01M,$955K - $1.07M,https://www.homes.co.nz/address/porirua/whitby/26-the-companionway/DYXGD
"111 Spinnaker Drive, Whitby, Porirua",2/09/2018,$900K,$850K - $950K,https://www.homes.co.nz/address/porirua/whitby/111-spinnaker-drive/ejJOL
