full_address,estimate_date,estimate_value,estimate_range,link
"1/27 Parkvale Road, Karori, Wellington",12/05/2016,$980K,$920K - $1.04M,https://www.homes.co.nz/address/wellington/karori/1-27-parkvale-road/4E5EL
"10A Eagle Street, Karori, Wellington",18/03/2007,$1.17M,$1.1M - $1.25M,https://www.homes.co.nz/address/wellington/karori/10a-eagle-street/DLRXL
"24 Shirley Street, Karori, Wellington",26/08/2020,$1.06M,$1M - $1.13M,https://www.homes.co.nz/address/wellington/karori/24-shirley-street/ROkO7
"5 Cooper Street, Karori, Wellington",25/10/2007,$1.82M,$1.7M - $1.94M,https://www.homes.co.nz/address/wellington/karori/5-cooper-street/OgpDn
"20 Vera Street, Karori, Wellington",12/12/1996,$1.35M,$1.27M - $1.43M,https://www.homes.co.nz/address/wellington/karori/20-vera-street/9YwzA
"41 Landsdowne Terrace, Karori, Wellington",21/11/2012,$1.26M,$1.17M - $1.34M,https://www.homes.co.nz/address/wellington/karori/41-landsdowne-terrace/MkOok
"2/86 Donald Street, Karori, Wellington",1/01/1970,$1.01M,$945K - $1.08M,https://www.homes.co.nz/address/wellington/karori/2-86-donald-street/qkLRg
"87 Karori Road, Karori, Wellington",30/11/2020,$1.36M,$1.27M - $1.45M,https://www.homes.co.nz/address/wellington/karori/87-karori-road/DLRYv
"41B Woodhouse Avenue, Karori, Wellington",11/03/2004,$835K,$780K - $885K,https://www.homes.co.nz/address/wellington/karori/41b-woodhouse-avenue/JL0KO
"86B Thurleigh Grove, Karori, Wellington",24/01/2014,$1.29M,$1.21M - $1.38M,https://www.homes.co.nz/address/wellington/karori/86b-thurleigh-grove/nLAev
"28 Hathaway Avenue, Karori, Wellington",7/09/2005,$1.13M,$1.05M - $1.2M,https://www.homes.co.nz/address/wellington/karori/28-hathaway-avenue/wxXEW
"5 Ridd Crescent, Karori, Wellington",6/06/2012,$1.13M,$1.07M - $1.2M,https://www.homes.co.nz/address/wellington/karori/5-ridd-crescent/4EkEr
"18 Mewburn Rise, Karori, Wellington",23/12/2004,$1.97M,$1.84M - $2.1M,https://www.homes.co.nz/address/wellington/karori/18-mewburn-rise/9Y2Q9
"8 Woodhouse Avenue, Karori, Wellington",9/01/2005,$1.25M,$1.17M - $1.33M,https://www.homes.co.nz/address/wellington/karori/8-woodhouse-avenue/ROpKq
"56 Collier Avenue, Karori, Wellington",31/12/1985,$1.04M,$975K - $1.11M,https://www.homes.co.nz/address/wellington/karori/56-collier-avenue/yb21M
"18 Shotter Street, Karori, Wellington",12/02/2010,$1.58M,$1.48M - $1.68M,https://www.homes.co.nz/address/wellington/karori/18-shotter-street/4EODl
"385C Karori Road, Karori, Wellington",1/01/1970,$1.46M,$1.36M - $1.55M,https://www.homes.co.nz/address/wellington/karori/385c-karori-road/DLZQ0
"19A Homewood Avenue, Karori, Wellington",2/04/2014,$2.72M,$2.54M - $2.9M,https://www.homes.co.nz/address/wellington/karori/19a-homewood-avenue/GkxZ1
"40A Landsdowne Terrace, Karori, Wellington",9/09/2013,$835K,$785K - $885K,https://www.homes.co.nz/address/wellington/karori/40a-landsdowne-terrace/wx082
"25A Friend Street, Karori, Wellington",4/06/2003,$1.52M,$1.42M - $1.62M,https://www.homes.co.nz/address/wellington/karori/25a-friend-street/QR8Qx
"9 Duthie Street, Karori, Wellington",28/01/2014,$1.95M,$1.82M - $2.08M,https://www.homes.co.nz/address/wellington/karori/9-duthie-street/Vab2W
"2/14 Astor Street, Karori, Wellington",14/05/2015,$745K,$700K - $790K,https://www.homes.co.nz/address/wellington/karori/2-14-astor-street/2EAVe
"57 Kano Street, Karori, Wellington",26/08/1998,$1.68M,$1.57M - $1.79M,https://www.homes.co.nz/address/wellington/karori/57-kano-street/kkGRv
"58 Beauchamp Street, Karori, Wellington",22/07/2003,$1.54M,$1.44M - $1.64M,https://www.homes.co.nz/address/wellington/karori/58-beauchamp-street/Va4Q7
"249 South Karori Road, Karori, Wellington",28/01/2005,$630K,$575K - $685K,https://www.homes.co.nz/address/wellington/karori/249-south-karori-road/PaoMX
"27 Marsden Avenue, Karori, Wellington",15/06/2012,$1.94M,$1.82M - $2.07M,https://www.homes.co.nz/address/wellington/karori/27-marsden-avenue/wxGWq
"9A Mallam Street, Karori, Wellington",2/07/2003,$930K,$875K - $985K,https://www.homes.co.nz/address/wellington/karori/9a-mallam-street/JLvjO
"3/1 Braithwaite Street, Karori, Wellington",30/04/2021,$485K,$465K - $500K,https://www.homes.co.nz/address/wellington/karori/3-1-braithwaite-street/ek2Kw
"7 Ranelagh Terrace, Karori, Wellington",28/05/2015,$1.1M,$1.03M - $1.17M,https://www.homes.co.nz/address/wellington/karori/7-ranelagh-terrace/2Ew2e
"381A Karori Road, Karori, Wellington",25/03/2014,$1.06M,$995K - $1.13M,https://www.homes.co.nz/address/wellington/karori/381a-karori-road/ggDJK
"222B Karori Road, Karori, Wellington",1/01/1970,$1.6M,$1.5M - $1.71M,https://www.homes.co.nz/address/wellington/karori/222b-karori-road/NXj4W
"11A Campbell Street, Karori, Wellington",5/10/2015,$2.03M,$1.89M - $2.16M,https://www.homes.co.nz/address/wellington/karori/11a-campbell-street/Y2JyG
"16A Campbell Street, Karori, Wellington",6/12/2002,$1.5M,$1.4M - $1.6M,https://www.homes.co.nz/address/wellington/karori/16a-campbell-street/ggXN0
"15 Standen Street, Karori, Wellington",21/05/2004,$1.41M,$1.32M - $1.5M,https://www.homes.co.nz/address/wellington/karori/15-standen-street/842ng
"80B Donald Street, Karori, Wellington",15/03/2018,$1.45M,$1.35M - $1.54M,https://www.homes.co.nz/address/wellington/karori/80b-donald-street/nL9On
"27 Voltaire Street, Karori, Wellington",12/08/2005,$1.33M,$1.25M - $1.42M,https://www.homes.co.nz/address/wellington/karori/27-voltaire-street/15Q70
"8 Thurleigh Grove, Karori, Wellington",21/04/2011,$1.17M,$1.09M - $1.24M,https://www.homes.co.nz/address/wellington/karori/8-thurleigh-grove/jDyQz
"52 Ponsonby Road, Karori, Wellington",1/01/1970,$1.86M,$1.74M - $1.99M,https://www.homes.co.nz/address/wellington/karori/52-ponsonby-road/alE8a
"56 Ponsonby Road, Karori, Wellington",24/07/2015,$2.1M,$1.96M - $2.24M,https://www.homes.co.nz/address/wellington/karori/56-ponsonby-road/JLQ82
"127 Donald Street, Karori, Wellington",19/05/2021,$1.61M,$1.54M - $1.65M,https://www.homes.co.nz/address/wellington/karori/127-donald-street/4E5ga
"376B Karori Road, Karori, Wellington",12/12/2005,$760K,$715K - $805K,https://www.homes.co.nz/address/wellington/karori/376b-karori-road/PaRMz
"1 Rosehaugh Avenue, Karori, Wellington",11/11/1983,$1.79M,$1.67M - $1.9M,https://www.homes.co.nz/address/wellington/karori/1-rosehaugh-avenue/jDYEz
"16 Blakey Avenue, Karori, Wellington",6/07/2017,$1.17M,$1.09M - $1.25M,https://www.homes.co.nz/address/wellington/karori/16-blakey-avenue/zOzW8
"85 Karori Road, Karori, Wellington",3/03/2006,$1.51M,$1.41M - $1.61M,https://www.homes.co.nz/address/wellington/karori/85-karori-road/pDWl2
"1/48 Allington Road, Karori, Wellington",1/01/1970,$910K,$850K - $965K,https://www.homes.co.nz/address/wellington/karori/1-48-allington-road/zOwJO
"38 Futuna Close, Karori, Wellington",12/01/2006,$1.12M,$1.05M - $1.19M,https://www.homes.co.nz/address/wellington/karori/38-futuna-close/0rYNJ
"8 Hathaway Avenue, Karori, Wellington",1/01/1970,$1.03M,$965K - $1.1M,https://www.homes.co.nz/address/wellington/karori/8-hathaway-avenue/4EMBg
"8 Terawhiti Terrace, Karori, Wellington",25/11/2020,$1.06M,$995K - $1.13M,https://www.homes.co.nz/address/wellington/karori/8-terawhiti-terrace/wxzQD
"52 Richmond Avenue, Karori, Wellington",23/03/2007,$1.19M,$1.11M - $1.27M,https://www.homes.co.nz/address/wellington/karori/52-richmond-avenue/0r8jO
"4 Reading Street, Karori, Wellington",21/02/2006,$1.72M,$1.61M - $1.83M,https://www.homes.co.nz/address/wellington/karori/4-reading-street/ggMZN
"272C Karori Road, Karori, Wellington",18/03/2015,$1.29M,$1.21M - $1.38M,https://www.homes.co.nz/address/wellington/karori/272c-karori-road/lXlPE
"61 Duthie Street, Karori, Wellington",1/01/1970,$1.5M,$1.4M - $1.6M,https://www.homes.co.nz/address/wellington/karori/61-duthie-street/Al9Vy
"4 Mewburn Rise, Karori, Wellington",12/03/2001,$2.01M,$1.88M - $2.14M,https://www.homes.co.nz/address/wellington/karori/4-mewburn-rise/7EqpQ
"58 Parkvale Road, Karori, Wellington",16/12/2015,$1.15M,$1.08M - $1.23M,https://www.homes.co.nz/address/wellington/karori/58-parkvale-road/Galwg
"63 Collier Avenue, Karori, Wellington",19/03/2014,$1.29M,$1.21M - $1.38M,https://www.homes.co.nz/address/wellington/karori/63-collier-avenue/K0aRW
"270A Karori Road, Karori, Wellington",28/09/2015,$1.57M,$1.47M - $1.68M,https://www.homes.co.nz/address/wellington/karori/270a-karori-road/ybLNO
"26A Shirley Street, Karori, Wellington",16/03/2006,$1.25M,$1.16M - $1.33M,https://www.homes.co.nz/address/wellington/karori/26a-shirley-street/NXqrn
"34A David Crescent, Karori, Wellington",29/04/2016,$805K,$735K - $875K,https://www.homes.co.nz/address/wellington/karori/34a-david-crescent/vnLbP
"107 Sunshine Avenue, Karori, Wellington",18/03/2014,$1.05M,$975K - $1.11M,https://www.homes.co.nz/address/wellington/karori/107-sunshine-avenue/0ra7O
"70 Croydon Street, Karori, Wellington",15/02/2012,$1.12M,$1.05M - $1.19M,https://www.homes.co.nz/address/wellington/karori/70-croydon-street/PaEGX
"87 Duthie Street, Karori, Wellington",18/12/2020,$1.45M,$1.35M - $1.54M,https://www.homes.co.nz/address/wellington/karori/87-duthie-street/kkL1v
"377 Karori Road, Karori, Wellington",29/09/1995,$1.27M,$1.19M - $1.35M,https://www.homes.co.nz/address/wellington/karori/377-karori-road/ybX0b
"8 Beatty Avenue, Karori, Wellington",22/02/2007,$1.32M,$1.24M - $1.41M,https://www.homes.co.nz/address/wellington/karori/8-beatty-avenue/pD0KG
"22 Thurleigh Grove, Karori, Wellington",26/11/2008,$1.16M,$1.08M - $1.23M,https://www.homes.co.nz/address/wellington/karori/22-thurleigh-grove/MkBYY
