WKT,address_id,change_id,address_type,unit_value,address_number,address_number_suffix,address_number_high,water_route_name,water_name,suburb_locality,town_city,full_address_number,full_road_name,full_address,road_section_id,gd2000_xcoord,gd2000_ycoord,water_route_name_ascii,water_name_ascii,suburb_locality_ascii,town_city_ascii,full_road_name_ascii,full_address_ascii,shape_X,shape_Y
POINT (174.74840395 -41.2883564333),348571,309422,Road,,21,,,,,Karori,Wellington,21,Tiro Street,"21 Tiro Street, Karori, Wellington",97973,174.74840395,-41.28835643,,,Karori,Wellington,Tiro Street,"21 Tiro Street, Karori, Wellington",174.74840395,-41.2883564333
POINT (174.72800635 -41.2908477833),901486,800867,Road,,23,,,,,Karori,Wellington,23,Landsdowne Terrace,"23 Landsdowne Terrace, Karori, Wellington",360877,174.72800635,-41.29084778,,,Karori,Wellington,Landsdowne Terrace,"23 Landsdowne Terrace, Karori, Wellington",174.72800635,-41.2908477833
POINT (174.7197676 -41.28860655),1529586,1330487,Road,,28,,,,,Karori,Wellington,28,Thurleigh Grove,"28 Thurleigh Grove, Karori, Wellington",305750,174.71976760,-41.28860655,,,Karori,Wellington,Thurleigh Grove,"28 Thurleigh Grove, Karori, Wellington",174.7197676,-41.28860655
POINT (174.7191833833 -41.2847341167),1613248,1702730,Road,,91,A,,,,Karori,Wellington,91A,Makara Road,"91A Makara Road, Karori, Wellington",82823,174.71918338,-41.28473412,,,Karori,Wellington,Makara Road,"91A Makara Road, Karori, Wellington",174.7191833833,-41.2847341167
POINT (174.7222607667 -41.2867747),1721334,1810576,Road,2,36,,,,,Karori,Wellington,2/36,Makara Road,"2/36 Makara Road, Karori, Wellington",93669,174.72226077,-41.28677470,,,Karori,Wellington,Makara Road,"2/36 Makara Road, Karori, Wellington",174.7222607667,-41.2867747
POINT (174.7080684833 -41.3079861167),1850122,1487855,Road,,311,,,,,Karori,Wellington,311,South Karori Road,"311 South Karori Road, Karori, Wellington",357285,174.70806848,-41.30798612,,,Karori,Wellington,South Karori Road,"311 South Karori Road, Karori, Wellington",174.7080684833,-41.3079861167
POINT (174.7061476 -41.3078732667),344276,305373,Road,,330,,,,,Karori,Wellington,330,South Karori Road,"330 South Karori Road, Karori, Wellington",357285,174.70614760,-41.30787327,,,Karori,Wellington,South Karori Road,"330 South Karori Road, Karori, Wellington",174.7061476,-41.3078732667
POINT (174.7196923833 -41.29008875),344609,305695,Road,,39,,,,,Karori,Wellington,39,Allington Road,"39 Allington Road, Karori, Wellington",90526,174.71969238,-41.29008875,,,Karori,Wellington,Allington Road,"39 Allington Road, Karori, Wellington",174.7196923833,-41.29008875
POINT (174.71882675 -41.2879855167),344797,305870,Road,,69,,,,,Karori,Wellington,69,Thurleigh Grove,"69 Thurleigh Grove, Karori, Wellington",93672,174.71882675,-41.28798552,,,Karori,Wellington,Thurleigh Grove,"69 Thurleigh Grove, Karori, Wellington",174.71882675,-41.2879855167
POINT (174.7197027833 -41.2906608333),344931,306003,Road,,9,,,,,Karori,Wellington,9,St Albans Avenue,"9 St Albans Avenue, Karori, Wellington",88381,174.71970278,-41.29066083,,,Karori,Wellington,St Albans Avenue,"9 St Albans Avenue, Karori, Wellington",174.7197027833,-41.2906608333
