full_address,estimate_date,estimate_value,estimate_range,link
"2/54 Rama Crescent, Khandallah, Wellington",21/04/2016,$1.13M,$1.08M - $1.17M,https://www.homes.co.nz/address/wellington/khandallah/2-54-rama-crescent/alRWa
"55A Calcutta Street, Khandallah, Wellington",1/11/2010,$1.09M,$1.02M - $1.15M,https://www.homes.co.nz/address/wellington/khandallah/55a-calcutta-street/ZoPQN
"57 Satara Crescent, Khandallah, Wellington",24/09/1997,$1.38M,$1.3M - $1.46M,https://www.homes.co.nz/address/wellington/khandallah/57-satara-crescent/Y2VWa
"2 Lakshmi Place, Khandallah, Wellington",31/10/2014,$1.28M,$1.2M - $1.35M,https://www.homes.co.nz/address/wellington/khandallah/2-lakshmi-place/Y2JZa
"7 Baroda Street, Khandallah, Wellington",1/01/1970,$1.87M,$1.76M - $1.97M,https://www.homes.co.nz/address/wellington/khandallah/7-baroda-street/QRebX
"13 Whitu Street, Khandallah, Wellington",18/06/1999,$1.56M,$1.47M - $1.64M,https://www.homes.co.nz/address/wellington/khandallah/13-whitu-street/ParBz
"90 Cashmere Avenue, Khandallah, Wellington",27/11/2001,$2.08M,$1.96M - $2.19M,https://www.homes.co.nz/address/wellington/khandallah/90-cashmere-avenue/o0rpB
"24 Imran Terrace, Khandallah, Wellington",2/11/2016,$1.44M,$1.36M - $1.52M,https://www.homes.co.nz/address/wellington/khandallah/24-imran-terrace/rX4P1
"5 Kohima Drive, Khandallah, Wellington",25/10/2012,$1.97M,$1.86M - $2.08M,https://www.homes.co.nz/address/wellington/khandallah/5-kohima-drive/yb2Ke
"3/8 Narbada Crescent, Khandallah, Wellington",15/03/2017,$795K,$765K - $825K,https://www.homes.co.nz/address/wellington/khandallah/3-8-narbada-crescent/9YAG7
"24A Mandalay Terrace, Khandallah, Wellington",21/01/2005,$2.04M,$1.92M - $2.16M,https://www.homes.co.nz/address/wellington/khandallah/24a-mandalay-terrace/JL2Yq
"10A Clutha Avenue, Khandallah, Wellington",22/03/2019,$1.36M,$1.31M - $1.41M,https://www.homes.co.nz/address/wellington/khandallah/10a-clutha-avenue/4EXvQ
"48B Waru Street, Khandallah, Wellington",26/01/2010,$1.57M,$1.48M - $1.66M,https://www.homes.co.nz/address/wellington/khandallah/48b-waru-street/kk5pA
"7 Gurkha Crescent, Khandallah, Wellington",14/11/2010,$1.39M,$1.31M - $1.47M,https://www.homes.co.nz/address/wellington/khandallah/7-gurkha-crescent/4EJvL
"72 Delhi Crescent, Khandallah, Wellington",16/12/2013,$1.93M,$1.82M - $2.04M,https://www.homes.co.nz/address/wellington/khandallah/72-delhi-crescent/gjVqV
"5A Ramphal Terrace, Khandallah, Wellington",14/06/2011,$1.11M,$1.05M - $1.17M,https://www.homes.co.nz/address/wellington/khandallah/5a-ramphal-terrace/qkREM
"82 Nicholson Road, Khandallah, Wellington",7/08/2014,$1.99M,$1.88M - $2.11M,https://www.homes.co.nz/address/wellington/khandallah/82-nicholson-road/ZoplL
"99 Calcutta Street, Khandallah, Wellington",31/08/2013,$415K,$380K - $450K,https://www.homes.co.nz/address/wellington/khandallah/99-calcutta-street/nL4XN
"38 Delhi Crescent, Khandallah, Wellington",10/01/2006,$1.37M,$1.29M - $1.45M,https://www.homes.co.nz/address/wellington/khandallah/38-delhi-crescent/qk2D4
"15 Delhi Crescent, Khandallah, Wellington",12/11/2013,$1.29M,$1.22M - $1.37M,https://www.homes.co.nz/address/wellington/khandallah/15-delhi-crescent/K0DBQ
"21A Ngatoto Street, Khandallah, Wellington",22/12/2011,$1.65M,$1.55M - $1.74M,https://www.homes.co.nz/address/wellington/khandallah/21a-ngatoto-street/2EkyK
"9B Box Hill, Khandallah, Wellington",9/06/2010,$890K,$855K - $925K,https://www.homes.co.nz/address/wellington/khandallah/9b-box-hill/qkDxO
"17A Kapil Grove, Khandallah, Wellington",16/04/2010,$1.16M,$1.1M - $1.23M,https://www.homes.co.nz/address/wellington/khandallah/17a-kapil-grove/jDQGz
"17B Ngatoto Street, Khandallah, Wellington",3/05/2012,$1.38M,$1.31M - $1.46M,https://www.homes.co.nz/address/wellington/khandallah/17b-ngatoto-street/bLOLa
"19 Waru Street, Khandallah, Wellington",11/08/2011,$1.48M,$1.4M - $1.57M,https://www.homes.co.nz/address/wellington/khandallah/19-waru-street/5EBG0
"4 Tensing Place, Khandallah, Wellington",1/01/1970,$1.58M,$1.49M - $1.67M,https://www.homes.co.nz/address/wellington/khandallah/4-tensing-place/kkEep
"29A Madras Street, Khandallah, Wellington",16/10/2007,$1.04M,$1M - $1.08M,https://www.homes.co.nz/address/wellington/khandallah/29a-madras-street/2Ea1q
"9A Amritsar Street, Khandallah, Wellington",7/12/2017,$1.72M,$1.66M - $1.79M,https://www.homes.co.nz/address/wellington/khandallah/9a-amritsar-street/o05g8
"32 Agra Crescent, Khandallah, Wellington",1/01/1970,$1.73M,$1.63M - $1.83M,https://www.homes.co.nz/address/wellington/khandallah/32-agra-crescent/1XN9Q
"35 Calcutta Street, Khandallah, Wellington",1/01/1970,$1.11M,$1.05M - $1.18M,https://www.homes.co.nz/address/wellington/khandallah/35-calcutta-street/X4Dyj
"4 Krishna Way, Khandallah, Wellington",3/04/2004,$2.12M,$2M - $2.24M,https://www.homes.co.nz/address/wellington/khandallah/4-krishna-way/kkgwP
"67 Rama Crescent, Khandallah, Wellington",1/01/1970,$2.22M,$2.09M - $2.34M,https://www.homes.co.nz/address/wellington/khandallah/67-rama-crescent/E0A5a
"71 Cashmere Avenue, Khandallah, Wellington",1/01/1970,$1.94M,$1.83M - $2.05M,https://www.homes.co.nz/address/wellington/khandallah/71-cashmere-avenue/RONw7
"24 Delhi Crescent, Khandallah, Wellington",7/06/2018,$1.64M,$1.54M - $1.73M,https://www.homes.co.nz/address/wellington/khandallah/24-delhi-crescent/GaKlk
"127 Homebush Road, Khandallah, Wellington",16/05/2017,$1.95M,$1.84M - $2.06M,https://www.homes.co.nz/address/wellington/khandallah/127-homebush-road/x4K2b
"5/142 Onslow Road, Khandallah, Wellington",8/05/2019,$1.24M,$1.2M - $1.29M,https://www.homes.co.nz/address/wellington/khandallah/5-142-onslow-road/wxDD9
"180 Onslow Road, Khandallah, Wellington",27/07/2017,$2.34M,$2.2M - $2.47M,https://www.homes.co.nz/address/wellington/khandallah/180-onslow-road/x4qoz
"18A Cashmere Avenue, Khandallah, Wellington",10/09/2006,$1.28M,$1.21M - $1.36M,https://www.homes.co.nz/address/wellington/khandallah/18a-cashmere-avenue/rr7PR
