WKT,address_id,change_id,address_type,unit_value,address_number,address_number_suffix,address_number_high,water_route_name,water_name,suburb_locality,town_city,full_address_number,full_road_name,full_address,road_section_id,gd2000_xcoord,gd2000_ycoord,water_route_name_ascii,water_name_ascii,suburb_locality_ascii,town_city_ascii,full_road_name_ascii,full_address_ascii,shape_X,shape_Y
POINT (174.7901197667 -41.2497378333),370036,2774446,Road,,19,,,,,Khandallah,Wellington,19,Torwood Road,"19 Torwood Road, Khandallah, Wellington",98433,174.79011977,-41.24973783,,,Khandallah,Wellington,Torwood Road,"19 Torwood Road, Khandallah, Wellington",174.7901197667,-41.2497378333
POINT (174.7895963667 -41.2480326),370052,2774492,Road,,1,,,,,Khandallah,Wellington,1,Clutha Avenue,"1 Clutha Avenue, Khandallah, Wellington",96050,174.78959637,-41.24803260,,,Khandallah,Wellington,Clutha Avenue,"1 Clutha Avenue, Khandallah, Wellington",174.7895963667,-41.2480326
POINT (174.7889342833 -41.2494654167),370106,2774466,Road,,24,,,,,Khandallah,Wellington,24,Torwood Road,"24 Torwood Road, Khandallah, Wellington",88669,174.78893428,-41.24946542,,,Khandallah,Wellington,Torwood Road,"24 Torwood Road, Khandallah, Wellington",174.7889342833,-41.2494654167
POINT (174.7884595333 -41.2492931167),370136,2774495,Road,,27,,,,,Khandallah,Wellington,27,Clutha Avenue,"27 Clutha Avenue, Khandallah, Wellington",96050,174.78845953,-41.24929312,,,Khandallah,Wellington,Clutha Avenue,"27 Clutha Avenue, Khandallah, Wellington",174.7884595333,-41.2492931167
POINT (174.7903361333 -41.2482442),370147,2774420,Road,,28,,,,,Khandallah,Wellington,28,Nicholson Road,"28 Nicholson Road, Khandallah, Wellington",99737,174.79033613,-41.24824420,,,Khandallah,Wellington,Nicholson Road,"28 Nicholson Road, Khandallah, Wellington",174.7903361333,-41.2482442
POINT (174.7882230167 -41.24941195),370188,2774509,Road,,31,B,,,,Khandallah,Wellington,31B,Clutha Avenue,"31B Clutha Avenue, Khandallah, Wellington",96050,174.78822302,-41.24941195,,,Khandallah,Wellington,Clutha Avenue,"31B Clutha Avenue, Khandallah, Wellington",174.7882230167,-41.24941195
POINT (174.7908594333 -41.2483676),370208,2774448,Road,,32,,,,,Khandallah,Wellington,32,Nicholson Road,"32 Nicholson Road, Khandallah, Wellington",99737,174.79085943,-41.24836760,,,Khandallah,Wellington,Nicholson Road,"32 Nicholson Road, Khandallah, Wellington",174.7908594333,-41.2483676
POINT (174.7889376 -41.2497190167),370236,2774501,Road,,34,,,,,Khandallah,Wellington,34,Torwood Road,"34 Torwood Road, Khandallah, Wellington",88669,174.78893760,-41.24971902,,,Khandallah,Wellington,Torwood Road,"34 Torwood Road, Khandallah, Wellington",174.7889376,-41.2497190167
POINT (174.7879503167 -41.2492780833),370240,2774510,Road,,35,A,,,,Khandallah,Wellington,35A,Clutha Avenue,"35A Clutha Avenue, Khandallah, Wellington",96050,174.78795032,-41.24927808,,,Khandallah,Wellington,Clutha Avenue,"35A Clutha Avenue, Khandallah, Wellington",174.7879503167,-41.2492780833
POINT (174.7880349167 -41.2495307333),370250,2774502,Road,,35,,,,,Khandallah,Wellington,35,Clutha Avenue,"35 Clutha Avenue, Khandallah, Wellington",96050,174.78803492,-41.24953073,,,Khandallah,Wellington,Clutha Avenue,"35 Clutha Avenue, Khandallah, Wellington",174.7880349167,-41.2495307333
POINT (174.7906813333 -41.2487128167),370285,2774450,Road,,38,,,,,Khandallah,Wellington,38,Nicholson Road,"38 Nicholson Road, Khandallah, Wellington",99737,174.79068133,-41.24871282,,,Khandallah,Wellington,Nicholson Road,"38 Nicholson Road, Khandallah, Wellington",174.7906813333,-41.2487128167
