WKT,address_id,change_id,address_type,unit_value,address_number,address_number_suffix,address_number_high,water_route_name,water_name,suburb_locality,town_city,full_address_number,full_road_name,full_address,road_section_id,gd2000_xcoord,gd2000_ycoord,water_route_name_ascii,water_name_ascii,suburb_locality_ascii,town_city_ascii,full_road_name_ascii,full_address_ascii,shape_X,shape_Y
POINT (174.6928211167 -36.5826055167),1501569,3207931,Road,,25,B,,,,Orewa,Orewa,25B,Alice Avenue,"25B Alice Avenue, Orewa",191493,174.69282112,-36.58260552,,,Orewa,Orewa,Alice Avenue,"25B Alice Avenue, Orewa",174.6928211167,-36.5826055167
POINT (174.6930613333 -36.58361015),1484881,3207919,Road,,15,,,,,Orewa,Orewa,15,Alice Avenue,"15 Alice Avenue, Orewa",191491,174.69306133,-36.58361015,,,Orewa,Orewa,Alice Avenue,"15 Alice Avenue, Orewa",174.6930613333,-36.58361015
POINT (174.69331 -36.584941),1485740,3208499,Road,,2,,,,,Orewa,Orewa,2,Alice Avenue,"2 Alice Avenue, Orewa",162857,174.69331000,-36.58494100,,,Orewa,Orewa,Alice Avenue,"2 Alice Avenue, Orewa",174.69331,-36.584941
POINT (174.69259335 -36.5824679333),1486371,3207930,Road,,27,C,,,,Orewa,Orewa,27C,Alice Avenue,"27C Alice Avenue, Orewa",191493,174.69259335,-36.58246793,,,Orewa,Orewa,Alice Avenue,"27C Alice Avenue, Orewa",174.69259335,-36.5824679333
POINT (174.692633 -36.586073),1490276,3208442,Road,,7,,,,,Orewa,Orewa,7,George Lowe Place,"7 George Lowe Place, Orewa",191494,174.69263300,-36.58607300,,,Orewa,Orewa,George Lowe Place,"7 George Lowe Place, Orewa",174.692633,-36.586073
POINT (174.691992 -36.586411),1490342,3208398,Road,,103,,,,,Orewa,Orewa,103,Centreway Road,"103 Centreway Road, Orewa",161434,174.69199200,-36.58641100,,,Orewa,Orewa,Centreway Road,"103 Centreway Road, Orewa",174.691992,-36.586411
POINT (174.6914970167 -36.58531),1496476,3208503,Road,,115,,,,,Orewa,Orewa,115,Centreway Road,"115 Centreway Road, Orewa",191501,174.69149702,-36.58531000,,,Orewa,Orewa,Centreway Road,"115 Centreway Road, Orewa",174.6914970167,-36.58531
POINT (174.6780439667 -36.5839187667),1497765,3173126,Road,,48,,,,,Orewa,Orewa,48,Maire Road,"48 Maire Road, Orewa",200196,174.67804397,-36.58391877,,,Orewa,Orewa,Maire Road,"48 Maire Road, Orewa",174.6780439667,-36.5839187667
POINT (174.692788 -36.586582),1509247,3208460,Road,1,17,,,,,Orewa,Orewa,1/17,Moana Avenue,"1/17 Moana Avenue, Orewa",201726,174.69278800,-36.58658200,,,Orewa,Orewa,Moana Avenue,"1/17 Moana Avenue, Orewa",174.692788,-36.586582
POINT (174.6953217167 -36.5855561),1520594,3208455,Road,,360,,,,,Orewa,Orewa,360,Hibiscus Coast Highway,"360 Hibiscus Coast Highway, Orewa",322074,174.69532172,-36.58555610,,,Orewa,Orewa,Hibiscus Coast Highway,"360 Hibiscus Coast Highway, Orewa",174.6953217167,-36.5855561
POINT (174.6768957667 -36.5836901333),1991697,3173140,Road,,44,,,,,Orewa,Orewa,44,Ascension Crescent,"44 Ascension Crescent, Orewa",382786,174.67689577,-36.58369013,,,Orewa,Orewa,Ascension Crescent,"44 Ascension Crescent, Orewa",174.6768957667,-36.5836901333
